date,value,series_id,title
2020-01-01,3.5,UNRATE,Unemployment Rate (Percent)
2020-02-01,3.5,UNRATE,Unemployment Rate (Percent)
2020-03-01,4.4,UNRATE,Unemployment Rate (Percent)
2020-04-01,14.7,UNRATE,Unemployment Rate (Percent)
2020-05-01,13.3,UNRATE,Unemployment Rate (Percent)
2020-06-01,11.1,UNRATE,Unemployment Rate (Percent)
2020-07-01,10.2,UNRATE,Unemployment Rate (Percent)
2020-08-01,8.4,UNRATE,Unemployment Rate (Percent)
2020-09-01,7.9,UNRATE,Unemployment Rate (Percent)
2020-10-01,6.9,UNRATE,Unemployment Rate (Percent)
2020-11-01,6.7,UNRATE,Unemployment Rate (Percent)
2020-12-01,6.3,UNRATE,Unemployment Rate (Percent)
2021-01-01,6.3,UNRATE,Unemployment Rate (Percent)
2021-02-01,6.2,UNRATE,Unemployment Rate (Percent)
2021-03-01,6.0,UNRATE,Unemployment Rate (Percent)
2021-04-01,5.8,UNRATE,Unemployment Rate (Percent)
2021-05-01,5.8,UNRATE,Unemployment Rate (Percent)
2021-06-01,5.9,UNRATE,Unemployment Rate (Percent)
2021-07-01,5.4,UNRATE,Unemployment Rate (Percent)
2021-08-01,5.2,UNRATE,Unemployment Rate (Percent)
2021-09-01,4.7,UNRATE,Unemployment Rate (Percent)
2021-10-01,4.6,UNRATE,Unemployment Rate (Percent)
2021-11-01,4.2,UNRATE,Unemployment Rate (Percent)
2021-12-01,3.9,UNRATE,Unemployment Rate (Percent)
2022-01-01,4.0,UNRATE,Unemployment Rate (Percent)
2022-02-01,3.8,UNRATE,Unemployment Rate (Percent)
2022-03-01,3.6,UNRATE,Unemployment Rate (Percent)
2022-04-01,3.6,UNRATE,Unemployment Rate (Percent)
2022-05-01,3.6,UNRATE,Unemployment Rate (Percent)
2022-06-01,3.6,UNRATE,Unemployment Rate (Percent)
2022-07-01,3.5,UNRATE,Unemployment Rate (Percent)
2022-08-01,3.7,UNRATE,Unemployment Rate (Percent)
2022-09-01,3.5,UNRATE,Unemployment Rate (Percent)
2022-10-01,3.7,UNRATE,Unemployment Rate (Percent)
2022-11-01,3.7,UNRATE,Unemployment Rate (Percent)
2022-12-01,3.5,UNRATE,Unemployment Rate (Percent)
2023-01-01,3.4,UNRATE,Unemployment Rate (Percent)
2023-02-01,3.6,UNRATE,Unemployment Rate (Percent)
2023-03-01,3.5,UNRATE,Unemployment Rate (Percent)
2023-04-01,3.4,UNRATE,Unemployment Rate (Percent)
2023-05-01,3.7,UNRATE,Unemployment Rate (Percent)
2023-06-01,3.6,UNRATE,Unemployment Rate (Percent)
2023-07-01,3.5,UNRATE,Unemployment Rate (Percent)
2023-08-01,3.8,UNRATE,Unemployment Rate (Percent)
2023-09-01,3.8,UNRATE,Unemployment Rate (Percent)
2023-10-01,3.9,UNRATE,Unemployment Rate (Percent)
2023-11-01,3.7,UNRATE,Unemployment Rate (Percent)
2023-12-01,3.7,UNRATE,Unemployment Rate (Percent)
2024-01-01,3.7,UNRATE,Unemployment Rate (Percent)
2024-02-01,3.9,UNRATE,Unemployment Rate (Percent)
2024-03-01,3.8,UNRATE,Unemployment Rate (Percent)
2024-04-01,3.9,UNRATE,Unemployment Rate (Percent)
2024-05-01,4.0,UNRATE,Unemployment Rate (Percent)
2024-06-01,4.0,UNRATE,Unemployment Rate (Percent)
2024-07-01,4.3,UNRATE,Unemployment Rate (Percent)
