date,channel,impressions,clicks,conversions,spend,revenue,cpc,ctr,conversion_rate
2025-07-20,Search,25795,1360,39,7587.95,15969.82,0.89,0.0294,0.0323
2025-07-21,Search,54131,3419,176,6858.0,3769.26,2.3,0.0763,0.03
2025-07-22,Search,93104,3885,46,1063.6,3018.9,1.81,0.044,0.0319
2025-07-23,Search,12747,1475,39,5104.63,20166.46,1.0,0.0509,0.0537
2025-07-24,Search,21394,4056,75,7122.77,12636.23,0.53,0.0765,0.0525
2025-07-25,Search,53001,3324,114,1879.05,17895.24,1.6,0.0273,0.0498
2025-07-26,Search,90077,3652,188,2640.12,19495.63,1.56,0.0325,0.0527
2025-07-27,Search,19692,661,226,9053.45,15952.75,2.8,0.0253,0.0378
2025-07-28,Search,11016,837,135,8458.64,10526.95,1.2,0.0526,0.0356
2025-07-29,Search,61214,4384,89,1140.73,12026.53,1.49,0.0376,0.0306
2025-07-30,Search,97538,891,187,8111.58,16134.1,2.82,0.0591,0.0666
2025-07-31,Search,18392,3604,72,4337.36,17548.93,2.16,0.0555,0.041
2025-08-01,Search,80592,3190,25,7495.57,7809.66,1.14,0.0224,0.0584
2025-08-02,Search,97897,1984,203,1282.86,16819.23,1.29,0.0505,0.0663
2025-08-03,Search,81910,2178,195,2827.55,23714.21,2.0,0.0617,0.0652
2025-08-04,Search,74044,2097,209,1949.45,12772.03,1.05,0.045,0.0653
2025-08-05,Search,28047,2029,116,4206.68,22903.64,1.18,0.0589,0.03
2025-08-06,Search,65016,1782,127,2481.9,14517.01,1.71,0.0615,0.0408
2025-08-07,Search,76199,2498,83,3908.83,14172.79,2.26,0.0418,0.0689
2025-08-08,Search,72003,1791,63,5475.24,9269.76,1.21,0.0222,0.0544
2025-08-09,Search,10854,3974,150,2304.05,13512.69,2.96,0.0345,0.0569
2025-08-10,Search,22688,1266,62,4310.05,16726.88,2.08,0.0521,0.0336
2025-08-11,Search,35184,3772,148,5573.79,18155.79,2.65,0.0396,0.0388
2025-08-12,Search,44754,646,172,6806.56,6423.24,2.23,0.0432,0.0675
2025-08-13,Search,47504,2302,244,7616.95,7204.11,1.85,0.0617,0.0391
2025-08-14,Search,26371,4143,137,3176.67,4594.81,2.74,0.074,0.0553
2025-08-15,Search,53016,3670,171,7533.6,22684.98,2.72,0.0668,0.0557
2025-08-16,Search,22874,2148,224,8068.07,17552.24,1.95,0.0423,0.0676
2025-08-17,Search,12200,3461,152,3748.27,13426.31,1.62,0.0797,0.037
2025-08-18,Search,48467,4993,45,2609.4,10745.55,2.36,0.0633,0.0423
2025-07-20,Social,80091,1454,139,6726.99,8135.39,1.97,0.0787,0.0495
2025-07-21,Social,15895,3854,51,8153.3,13809.33,1.94,0.0496,0.0378
2025-07-22,Social,50764,1315,171,6148.04,19792.47,0.61,0.0797,0.0488
2025-07-23,Social,92989,3944,30,4331.43,2847.77,2.82,0.0457,0.0687
2025-07-24,Social,76235,1639,215,3751.27,6795.5,1.17,0.0491,0.0449
2025-07-25,Social,42745,1069,91,6130.55,4686.47,2.04,0.0794,0.0356
2025-07-26,Social,92074,3037,154,3902.96,21595.07,0.84,0.0625,0.0521
2025-07-27,Social,15801,3306,50,8291.02,22009.13,2.78,0.0507,0.0501
2025-07-28,Social,80316,4615,89,1638.47,11427.64,0.63,0.0732,0.0311
2025-07-29,Social,42097,3274,215,1323.48,12975.96,1.86,0.0372,0.0536
2025-07-30,Social,66661,2215,194,8403.41,10604.29,0.82,0.0513,0.0608
2025-07-31,Social,13051,504,127,1768.13,3662.84,1.83,0.0524,0.0555
2025-08-01,Social,83523,4864,138,5646.7,9766.52,2.49,0.0362,0.0476
2025-08-02,Social,35945,1240,242,9663.84,21309.55,2.24,0.0445,0.0369
2025-08-03,Social,26896,3349,120,5943.04,18578.41,2.15,0.0368,0.0682
2025-08-04,Social,63222,1970,93,6505.49,11941.0,1.12,0.0414,0.0603
2025-08-05,Social,94664,3856,230,1826.19,4618.53,1.28,0.0788,0.037
2025-08-06,Social,53919,2765,242,5424.54,13153.11,0.93,0.046,0.0459
2025-08-07,Social,33049,3349,204,4371.51,16581.85,1.76,0.0714,0.0563
2025-08-08,Social,14611,3587,48,9495.02,23745.66,2.67,0.0582,0.062
2025-08-09,Social,69275,4246,148,2156.5,20752.09,2.55,0.0576,0.0628
2025-08-10,Social,79449,1566,68,3465.65,7328.26,1.44,0.0223,0.0547
2025-08-11,Social,37350,3396,114,3870.78,21509.69,0.56,0.0689,0.0413
2025-08-12,Social,13267,1325,138,6660.49,22243.12,2.34,0.0682,0.0413
2025-08-13,Social,54425,3004,176,8261.51,24786.37,1.53,0.0423,0.0611
2025-08-14,Social,69031,4632,36,4860.95,19394.6,2.39,0.0262,0.0661
2025-08-15,Social,24397,1095,136,4506.56,9196.79,0.75,0.0232,0.0683
2025-08-16,Social,34466,4671,33,3873.82,23876.39,2.88,0.0544,0.0553
2025-08-17,Social,96900,3640,123,6421.97,14958.32,1.03,0.0768,0.0613
2025-08-18,Social,11062,2656,205,5449.78,3795.07,1.87,0.0465,0.0655
2025-07-20,Display,99930,1453,169,1910.1,4392.4,2.25,0.0244,0.0629
2025-07-21,Display,29065,1717,29,5619.94,7747.63,1.95,0.0718,0.0652
2025-07-22,Display,67854,4812,69,7780.4,10965.84,0.71,0.0666,0.0523
2025-07-23,Display,35289,4102,63,4910.07,8207.85,1.51,0.0543,0.0596
2025-07-24,Display,67799,1394,129,7697.9,17823.39,1.09,0.044,0.0491
2025-07-25,Display,33960,1323,185,3012.36,24172.51,0.53,0.0782,0.0317
2025-07-26,Display,30559,3433,237,9936.68,4160.42,1.88,0.0782,0.0509
2025-07-27,Display,27640,3876,38,3650.45,24906.21,2.24,0.0431,0.0595
2025-07-28,Display,17114,1853,248,1520.78,11376.74,0.77,0.0401,0.0368
2025-07-29,Display,71529,4219,210,3064.55,8483.6,1.4,0.0356,0.0481
2025-07-30,Display,48088,3008,244,3438.62,5496.67,0.69,0.0764,0.0467
2025-07-31,Display,80340,2338,177,4764.19,23486.39,2.67,0.0227,0.0311
2025-08-01,Display,71813,3636,170,9885.49,5884.38,1.99,0.0429,0.0688
2025-08-02,Display,82474,4500,122,1331.4,5511.67,0.53,0.0245,0.0577
2025-08-03,Display,70100,2168,126,9218.49,15665.86,2.32,0.0654,0.0451
2025-08-04,Display,66397,2548,75,3472.59,7162.62,2.7,0.0654,0.0319
