customer_id,touchpoint_date,channel,touchpoint_order,campaign_id,converted,conversion_value
customer_0000,2025-08-02 20:45:09,Display,1,campaign_03,0,0.0
customer_0000,2025-07-23 20:45:09,Direct,2,campaign_09,0,0.0
customer_0000,2025-08-13 20:45:09,Search,3,campaign_07,0,0.0
customer_0000,2025-08-10 20:45:09,Social,4,campaign_15,0,0.0
customer_0001,2025-08-12 20:45:09,Display,1,campaign_16,0,0.0
customer_0001,2025-08-15 20:45:09,Direct,2,campaign_03,0,0.0
customer_0001,2025-08-10 20:45:09,Direct,3,campaign_11,0,0.0
customer_0002,2025-07-28 20:45:09,Video,1,campaign_12,0,0.0
customer_0002,2025-08-06 20:45:09,Display,2,campaign_19,0,0.0
customer_0003,2025-08-06 20:45:09,Email,1,campaign_19,0,0.0
customer_0003,2025-08-07 20:45:09,Social,2,campaign_06,0,0.0
customer_0003,2025-08-01 20:45:09,Display,3,campaign_05,0,0.0
customer_0003,2025-07-26 20:45:09,Display,4,campaign_10,0,0.0
customer_0004,2025-08-16 20:45:09,Email,1,campaign_15,0,0.0
customer_0004,2025-08-18 20:45:09,Video,2,campaign_17,0,0.0
customer_0004,2025-07-29 20:45:09,Email,3,campaign_05,0,0.0
customer_0005,2025-07-22 20:45:09,Video,1,campaign_18,0,0.0
customer_0005,2025-08-02 20:45:09,Display,2,campaign_09,0,0.0
customer_0005,2025-08-15 20:45:09,Social,3,campaign_02,0,0.0
customer_0005,2025-08-15 20:45:09,Social,4,campaign_04,0,0.0
customer_0006,2025-07-31 20:45:09,Display,1,campaign_12,0,0.0
customer_0006,2025-08-16 20:45:09,Email,2,campaign_15,0,0.0
customer_0007,2025-08-16 20:45:09,Video,1,campaign_16,0,0.0
customer_0008,2025-08-07 20:45:09,Direct,1,campaign_14,0,0.0
customer_0008,2025-08-17 20:45:09,Email,2,campaign_06,0,0.0
customer_0009,2025-08-10 20:45:09,Direct,1,campaign_15,0,0.0
customer_0009,2025-08-05 20:45:09,Search,2,campaign_02,0,0.0
customer_0009,2025-08-12 20:45:09,Direct,3,campaign_17,0,0.0
customer_0009,2025-07-23 20:45:09,Search,4,campaign_02,0,0.0
customer_0009,2025-08-16 20:45:09,Search,5,campaign_08,0,0.0
customer_0010,2025-07-26 20:45:09,Video,1,campaign_13,0,0.0
customer_0010,2025-07-27 20:45:09,Display,2,campaign_10,0,0.0
